starting_particles 5
new_particles_per_second 4
texture particles/fire04.tga
scale 1
growth -0.3
lifetime 2
lifetime_var 0.5
rotation_speed 0
gravity -1
damping 0.6

anim_speed over_life
starting_frame 1
ending_frame 14
frames_in_image 16

starting_velocity_x 0.0
starting_velocity_y 0.0
starting_velocity_z 0.5

velocity_var_x 0.1
velocity_var_y 0.1
velocity_var_z 0.2

transparency 255
system_life -1
display_mode 24
emitter_shape plane
plane_x_length 18
plane_y_length 18
collision off
wind 0
fade_out 1
fade_in 0
